Date,senti
1960-01-01,101.643088032244
1960-02-01,101.380634031208
1960-03-01,101.153896428979
1960-04-01,101.028824654774
1960-05-01,101.060401399823
1960-06-01,101.149777022142
1960-07-01,101.168656345117
1960-08-01,101.025886578817
1960-09-01,100.804541540653
1960-10-01,100.620757790561
1960-11-01,100.561146039249
1960-12-01,100.582641267175
1961-01-01,100.632100454182
1961-02-01,100.684793329887
1961-03-01,100.754929164996
1961-04-01,100.878955482592
1961-05-01,101.081413810017
1961-06-01,101.286904948268
1961-07-01,101.385568014004
1961-08-01,101.295526671925
1961-09-01,101.132163438462
1961-10-01,101.050218979741
1961-11-01,101.159213302113
1961-12-01,101.357448166757
1962-01-01,101.498948267581
1962-02-01,101.471161866848
1962-03-01,101.329396194628
1962-04-01,101.144645914567
1962-05-01,100.965400861151
1962-06-01,100.822438384802
1962-07-01,100.756103926484
1962-08-01,100.807309016444
1962-09-01,100.931901253713
1962-10-01,101.08542743328
1962-11-01,101.234509527138
1962-12-01,101.339286721853
1963-01-01,101.340301541828
1963-02-01,101.189690872909
1963-03-01,100.986139359544
1963-04-01,100.857552704267
1963-05-01,100.896671810431
1963-06-01,101.021722068062
1963-07-01,101.12525031349
1963-08-01,101.137030636326
1963-09-01,101.108492199838
1963-10-01,101.120957613284
1963-11-01,101.234200064779
1963-12-01,101.393996603015
1964-01-01,101.522838012059
1964-02-01,101.564084599406
1964-03-01,101.557077113223
1964-04-01,101.555899503183
1964-05-01,101.596395753646
1964-06-01,101.657356841875
1964-07-01,101.704004857224
1964-08-01,101.711012282561
1964-09-01,101.699834348564
1964-10-01,101.703708155831
1964-11-01,101.750837144337
1964-12-01,101.832523833611
1965-01-01,101.940021203878
1965-02-01,102.066826376437
1965-03-01,102.185163613039
1965-04-01,102.255147356856
1965-05-01,102.242413221402
1965-06-01,102.184102460242
1965-07-01,102.121614794023
1965-08-01,102.078937875205
1965-09-01,102.04515364585
1965-10-01,101.997119926339
1965-11-01,101.913259326614
1965-12-01,101.801597635587
1966-01-01,101.667651525444
1966-02-01,101.510117359256
1966-03-01,101.338844405698
1966-04-01,101.16040920112
1966-05-01,100.977428697792
1966-06-01,100.79503566436
1966-07-01,100.623901254212
1966-08-01,100.482670103953
1966-09-01,100.389136808595
1966-10-01,100.385504179987
1966-11-01,100.515943651565
1966-12-01,100.714255015137
1967-01-01,100.905372731738
1967-02-01,101.039000351704
1967-03-01,101.130438580504
1967-04-01,101.19894083276
1967-05-01,101.248258177433
1967-06-01,101.270120259544
1967-07-01,101.238907673347
1967-08-01,101.133779596843
1967-09-01,101.013876095814
1967-10-01,100.959484525857
1967-11-01,101.027981360133
1967-12-01,101.144262084847
1968-01-01,101.204204169098
1968-02-01,101.130346145473
1968-03-01,100.983905329921
1968-04-01,100.84668071475
1968-05-01,100.775538653555
1968-06-01,100.747682345765
1968-07-01,100.73179389784
1968-08-01,100.715890631056
1968-09-01,100.723213529434
1968-10-01,100.800137050375
1968-11-01,100.980852768929
1968-12-01,101.182452400708
1969-01-01,101.284151323117
1969-02-01,101.185628182162
1969-03-01,100.965265209832
1969-04-01,100.710733995619
1969-05-01,100.471421088223
1969-06-01,100.245021840329
1969-07-01,100.012900989722
1969-08-01,99.7625395808846
1969-09-01,99.5157034893203
1969-10-01,99.3108674609594
1969-11-01,99.1821138330933
1969-12-01,99.0960311933052
1970-01-01,99.0164829641948
1970-02-01,98.9267049988249
1970-03-01,98.84486876669
1970-04-01,98.8058845581101
1970-05-01,98.8352629553891
1970-06-01,98.8801242804187
1970-07-01,98.8677996318686
1970-08-01,98.7489489958268
1970-09-01,98.5978653288192
1970-10-01,98.5233738027413
1970-11-01,98.6119640795561
1970-12-01,98.794330446262
1971-01-01,98.9847282556943
1971-02-01,99.1265542774366
1971-03-01,99.2298956060047
1971-04-01,99.3136840087529
1971-05-01,99.386334966954
1971-06-01,99.445939642699
1971-07-01,99.4835961595022
1971-08-01,99.4997871665613
1971-09-01,99.5427055607599
1971-10-01,99.688064414787
1971-11-01,99.9921795169171
1971-12-01,100.342611452162
1972-01-01,100.585949544045
1972-02-01,100.609278963263
1972-03-01,100.528741679708
1972-04-01,100.498246303951
1972-05-01,100.622044631503
1972-06-01,100.817266279277
1972-07-01,100.954058662638
1972-08-01,100.924303652244
1972-09-01,100.768763495293
1972-10-01,100.526877890954
1972-11-01,100.212346212358
1972-12-01,99.8750551759792
1973-01-01,99.5636927811503
1973-02-01,99.3111216061629
1973-03-01,99.0938234640183
1973-04-01,98.8885163819692
1973-05-01,98.6934985470179
1973-06-01,98.5380011925202
1973-07-01,98.4772531716689
1973-08-01,98.5480250517242
1973-09-01,98.629423873398
1973-10-01,98.5520792057591
1973-11-01,98.1967022595199
1973-12-01,97.7513884896356
1974-01-01,97.479131954006
1974-02-01,97.5752764958219
1974-03-01,97.8519096916571
1974-04-01,98.0536220270508
1974-05-01,97.9927774192713
1974-06-01,97.7597045993203
1974-07-01,97.4756136972695
1974-08-01,97.2177410409674
1974-09-01,96.995512035647
1974-10-01,96.8124596247813
1974-11-01,96.6924990987586
1974-12-01,96.667026310302
1975-01-01,96.8188959616859
1975-02-01,97.2319121531882
1975-03-01,97.7629764929
1975-04-01,98.236929819268
1975-05-01,98.5233457742271
1975-06-01,98.6704353908773
1975-07-01,98.734604030343
1975-08-01,98.7493346557423
1975-09-01,98.7769920845399
1975-10-01,98.8900932983267
1975-11-01,99.1396509480012
1975-12-01,99.4380730751605
1976-01-01,99.6695213323477
1976-02-01,99.7514047258131
1976-03-01,99.7628472282486
