Date,Open,High,Low,Close,Adj Close,Volume
1993-01-29,43.96875,43.96875,43.75,43.9375,25.029375076293945,1003200
1993-02-01,43.96875,44.25,43.96875,44.25,25.2073917388916,480500
1993-02-02,44.21875,44.375,44.125,44.34375,25.260805130004883,201300
1993-02-03,44.40625,44.84375,44.375,44.8125,25.52783966064453,529400
1993-02-04,44.96875,45.09375,44.46875,45.0,25.634620666503906,531500
1993-02-05,44.96875,45.0625,44.71875,44.96875,25.616825103759766,492100
1993-02-08,44.96875,45.125,44.90625,44.96875,25.616825103759766,596100
1993-02-09,44.8125,44.8125,44.5625,44.65625,25.438814163208008,122100
1993-02-10,44.65625,44.75,44.53125,44.71875,25.47441291809082,379600
1993-02-11,44.78125,45.125,44.78125,44.9375,25.599018096923828,19500
1993-02-12,44.875,44.875,44.59375,44.59375,25.403213500976562,42500
1993-02-16,44.46875,44.46875,43.40625,43.46875,24.76234245300293,374800
1993-02-17,43.46875,43.53125,43.28125,43.4375,24.744537353515625,210900
1993-02-18,43.9375,43.9375,42.8125,43.40625,24.72674560546875,378100
1993-02-19,43.40625,43.5625,43.34375,43.5625,24.81574058532715,34900
1993-02-22,43.6875,43.78125,43.5625,43.71875,24.904747009277344,513600
1993-02-23,43.84375,43.875,43.46875,43.6875,24.88695526123047,373700
1993-02-24,43.71875,44.25,43.71875,44.25,25.2073917388916,26300
1993-02-25,44.21875,44.375,44.125,44.34375,25.260805130004883,44500
1993-02-26,44.4375,44.4375,44.1875,44.40625,25.296396255493164,66200
1993-03-01,44.5625,44.5625,44.21875,44.28125,25.225181579589844,66500
1993-03-02,44.3125,44.9375,44.25,44.9375,25.599018096923828,182400
1993-03-03,45.0,45.15625,44.9375,45.125,25.705848693847656,280100
1993-03-04,45.1875,45.1875,44.875,44.875,25.563411712646484,89500
1993-03-05,44.9375,45.125,44.71875,44.75,25.492219924926758,40000
1993-03-08,44.84375,45.75,44.84375,45.75,26.061874389648438,50800
1993-03-09,45.65625,45.6875,45.5,45.59375,25.972875595092773,169300
1993-03-10,45.59375,45.6875,45.40625,45.6875,26.026269912719727,194400
1993-03-11,45.71875,45.84375,45.5,45.5625,25.955074310302734,70900
1993-03-12,45.1875,45.21875,44.8125,45.09375,25.688039779663086,643600
1993-03-15,45.0625,45.3125,45.0625,45.3125,25.812650680541992,310800
1993-03-16,45.3125,45.4375,45.3125,45.3125,25.812650680541992,30800
1993-03-17,45.25,45.25,44.96875,45.03125,25.65244483947754,21800
1993-03-18,45.21875,45.5,45.21875,45.3125,25.812650680541992,59300
1993-03-19,45.28125,45.28125,45.03125,45.03125,25.773597717285156,66900
1993-03-22,44.59375,44.875,44.5625,44.78125,25.6304931640625,183400
1993-03-23,44.90625,44.9375,44.8125,44.875,25.684144973754883,55200
1993-03-24,44.8125,45.0625,44.59375,44.875,25.684144973754883,37200
1993-03-25,44.90625,45.25,44.84375,45.15625,25.84512710571289,110100
1993-03-26,45.125,45.15625,44.875,44.90625,25.70203971862793,101500
1993-03-29,44.9375,45.3125,44.9375,45.09375,25.809358596801758,87100
1993-03-30,45.15625,45.21875,45.09375,45.21875,25.88089942932129,56000
1993-03-31,45.34375,45.46875,45.1875,45.1875,25.86301612854004,111600
1993-04-01,45.25,45.25,44.9375,45.03125,25.773597717285156,129500
1993-04-02,44.65625,44.65625,44.09375,44.09375,25.237028121948242,59400
1993-04-05,44.4375,44.4375,44.1875,44.3125,25.362218856811523,172200
1993-04-06,44.40625,44.40625,44.0625,44.1875,25.290664672851562,129700
1993-04-07,44.25,44.34375,44.15625,44.34375,25.38010597229004,28000
1993-04-08,44.53125,44.53125,44.09375,44.28125,25.344314575195312,180800
1993-04-12,44.71875,44.9375,44.65625,44.90625,25.70203971862793,348500
1993-04-13,44.875,45.15625,44.84375,45.0,25.755687713623047,146100
1993-04-14,45.03125,45.0625,44.90625,44.9375,25.719928741455078,119600
1993-04-15,44.90625,45.03125,44.75,44.9375,25.719928741455078,148600
1993-04-16,44.96875,45.03125,44.875,44.9375,25.719928741455078,47900
1993-04-19,44.9375,45.0625,44.71875,44.75,25.61261558532715,157000
1993-04-20,44.6875,44.75,44.25,44.53125,25.487403869628906,279500
1993-04-21,44.625,44.625,44.375,44.5,25.469541549682617,67900
1993-04-22,44.3125,44.6875,43.9375,43.9375,25.147584915161133,97700
1993-04-23,43.84375,43.96875,43.6875,43.75,25.040266036987305,106000
1993-04-26,43.78125,43.9375,43.28125,43.40625,24.84351921081543,62600
1993-04-27,43.34375,43.875,43.34375,43.875,25.111814498901367,156800
1993-04-28,43.8125,43.90625,43.71875,43.78125,25.05814552307129,85900
1993-04-29,43.875,43.96875,43.625,43.96875,25.165470123291016,85000
1993-04-30,44.125,44.28125,44.03125,44.03125,25.201244354248047,88500
1993-05-03,44.09375,44.3125,43.90625,44.3125,25.362218856811523,80500
1993-05-04,44.40625,44.625,44.34375,44.46875,25.45163917541504,149100
1993-05-05,44.46875,44.75,44.46875,44.59375,25.5231876373291,109000
1993-05-06,44.53125,44.5625,44.40625,44.4375,25.43375587463379,54700
1993-05-07,44.46875,44.46875,44.28125,44.34375,25.38010597229004,68000
1993-05-10,44.40625,44.6875,44.40625,44.4375,25.43375587463379,113900
1993-05-11,44.4375,44.625,44.3125,44.625,25.541080474853516,42600
1993-05-12,44.4375,44.59375,44.4375,44.5625,25.505294799804688,31000
1993-05-13,44.375,44.375,44.0,44.03125,25.201244354248047,129100
1993-05-14,44.03125,44.15625,43.96875,44.0,25.183359146118164,63500
1993-05-17,44.125,44.15625,43.9375,44.15625,25.27278709411621,34000
1993-05-18,44.1875,44.21875,43.96875,44.125,25.254898071289062,105200
1993-05-19,44.125,45.03125,43.84375,45.03125,25.773597717285156,50200
1993-05-20,45.03125,45.15625,44.9375,45.15625,25.84512710571289,98200
1993-05-21,45.1875,45.25,44.71875,44.75,25.61261558532715,221400
1993-05-24,44.84375,45.09375,44.84375,44.9375,25.719928741455078,30500
1993-05-25,45.125,45.125,45.03125,45.03125,25.773597717285156,191800
1993-05-26,45.15625,45.625,45.125,45.59375,26.095535278320312,102400
1993-05-27,45.65625,45.65625,45.375,45.4375,26.006103515625,53800
1993-05-28,45.40625,45.40625,45.0,45.21875,25.88089942932129,79100
1993-06-01,45.375,45.8125,45.3125,45.65625,26.13130760192871,28300
1993-06-02,45.53125,45.75,45.34375,45.59375,26.095535278320312,20300
1993-06-03,45.5,45.5,45.34375,45.4375,26.006103515625,21600
1993-06-04,45.3125,45.3125,45.09375,45.28125,25.916664123535156,32000
1993-06-07,45.375,45.375,45.125,45.125,25.827247619628906,121400
1993-06-08,45.0,45.0,44.71875,44.71875,25.5947208404541,104500
1993-06-09,44.875,45.0625,44.8125,44.875,25.684144973754883,43300
1993-06-10,44.84375,44.9375,44.75,44.90625,25.70203971862793,17900
1993-06-11,45.0625,45.15625,44.90625,45.09375,25.809358596801758,647400
1993-06-14,45.15625,45.1875,45.03125,45.03125,25.773597717285156,64200
1993-06-15,45.09375,45.125,44.9375,44.9375,25.719928741455078,142400
1993-06-16,44.9375,45.03125,44.8125,45.03125,25.773597717285156,330900
1993-06-17,45.125,45.1875,45.03125,45.1875,25.86301612854004,37400
1993-06-18,44.84375,44.84375,44.5,44.5,25.650026321411133,58500
1993-06-21,44.625,44.625,44.53125,44.59375,25.704072952270508,29300
1993-06-22,44.65625,44.65625,44.5625,44.625,25.722097396850586,137500
1993-06-23,44.625,44.625,44.21875,44.21875,25.48792266845703,227600
1993-06-24,44.34375,44.8125,44.34375,44.8125,25.83017349243164,243700
1993-06-25,44.78125,44.90625,44.75,44.78125,25.81214714050293,44800
1993-06-28,45.0,45.28125,44.9375,45.28125,26.100357055664062,439900
1993-06-29,45.21875,45.21875,45.0,45.0625,25.974262237548828,207500
1993-06-30,45.125,45.21875,45.0,45.0625,25.974262237548828,437600
1993-07-01,45.125,45.125,44.875,44.9375,25.902212142944336,605700
1993-07-02,44.78125,44.8125,44.53125,44.6875,25.75812530517578,285400
1993-07-06,44.625,44.75,44.15625,44.21875,25.48792266845703,246400
1993-07-07,44.1875,44.40625,44.1875,44.34375,25.559978485107422,343700
1993-07-08,44.375,44.9375,44.3125,44.84375,25.848175048828125,248200
1993-07-09,44.84375,44.96875,44.75,44.96875,25.920228958129883,378200
1993-07-12,44.90625,44.96875,44.84375,44.9375,25.902212142944336,373700
1993-07-13,44.96875,45.09375,44.65625,44.90625,25.88420867919922,389600
1993-07-14,44.9375,45.1875,44.90625,45.0625,25.974262237548828,617300
1993-07-15,45.03125,45.03125,44.78125,44.875,25.866188049316406,443800
1993-07-16,44.90625,44.9375,44.6875,44.75,25.794130325317383,216400
1993-07-19,44.75,44.75,44.59375,44.71875,25.776126861572266,188200
1993-07-20,44.6875,44.84375,44.46875,44.84375,25.848175048828125,68500
1993-07-21,44.78125,44.8125,44.65625,44.8125,25.83017349243164,142700
1993-07-22,44.75,44.8125,44.5,44.5,25.650026321411133,632400
1993-07-23,44.59375,44.71875,44.5625,44.71875,25.776126861572266,286200
1993-07-26,44.84375,45.0625,44.84375,44.96875,25.920228958129883,121300
1993-07-27,45.0,45.03125,44.78125,44.9375,25.902212142944336,92800
1993-07-28,44.84375,44.9375,44.78125,44.84375,25.848175048828125,30800
1993-07-29,44.9375,45.21875,44.875,45.09375,25.992279052734375,331000
