Date,manuNewOrders
2011-05-01,458536.0
2011-06-01,454746.0
2011-07-01,459477.0
2011-08-01,468947.0
2011-09-01,457843.0
2011-10-01,463126.0
2011-11-01,471598.0
2011-12-01,478391.0
2012-01-01,481499.0
2012-02-01,486486.0
2012-03-01,480182.0
2012-04-01,474139.0
2012-05-01,472924.0
2012-06-01,462398.0
2012-07-01,471418.0
2012-08-01,456667.0
2012-09-01,475393.0
2012-10-01,479227.0
2012-11-01,476019.0
2012-12-01,488118.0
2013-01-01,486079.0
2013-02-01,501834.0
2013-03-01,474511.0
2013-04-01,481757.0
2013-05-01,493924.0
2013-06-01,501236.0
2013-07-01,479590.0
2013-08-01,486373.0
2013-09-01,497394.0
2013-10-01,492467.0
2013-11-01,503958.0
2013-12-01,500015.0
2014-01-01,487239.0
2014-02-01,497377.0
2014-03-01,496999.0
2014-04-01,501689.0
2014-05-01,495076.0
2014-06-01,499161.0
2014-07-01,556708.0
2014-08-01,497281.0
2014-09-01,493702.0
2014-10-01,484994.0
2014-11-01,476531.0
2014-12-01,465167.0
2015-01-01,457300.0
2015-02-01,453837.0
2015-03-01,462057.0
2015-04-01,460428.0
2015-05-01,451000.0
2015-06-01,464015.0
2015-07-01,457118.0
2015-08-01,451697.0
2015-09-01,443966.0
2015-10-01,450663.0
2015-11-01,445862.0
2015-12-01,436539.0
2016-01-01,442236.0
2016-02-01,432214.0
2016-03-01,435508.0
2016-04-01,448206.0
2016-05-01,441873.0
2016-06-01,430180.0
2016-07-01,434449.0
2016-08-01,438958.0
2016-09-01,438743.0
2016-10-01,456064.0
2016-11-01,439699.0
2016-12-01,448532.0
2017-01-01,448135.0
2017-02-01,453347.0
2017-03-01,451314.0
2017-04-01,453095.0
2017-05-01,450801.0
2017-06-01,464267.0
2017-07-01,446135.0
2017-08-01,453405.0
2017-09-01,461398.0
2017-10-01,463387.0
2017-11-01,473055.0
2017-12-01,482515.0
2018-01-01,470358.0
2018-02-01,478186.0
2018-03-01,485759.0
2018-04-01,484904.0
2018-05-01,491088.0
2018-06-01,490399.0
2018-07-01,482153.0
2018-08-01,493491.0
2018-09-01,497078.0
2018-10-01,488401.0
2018-11-01,478782.0
2018-12-01,480899.0
2019-01-01,475906.0
2019-02-01,469860.0
2019-03-01,478332.0
2019-04-01,472540.0
2019-05-01,465277.0
2019-06-01,459808.0
2019-07-01,465393.0
2019-08-01,463594.0
2019-09-01,459905.0
2019-10-01,456682.0
2019-11-01,447983.0
2019-12-01,450593.0
2020-01-01,459985.0
2020-02-01,459240.0
2020-03-01,412598.0
2020-04-01,355226.0
2020-05-01,377305.0
2020-06-01,405685.0
2020-07-01,430361.0
2020-08-01,435740.0
2020-09-01,442764.0
2020-10-01,449106.0
2020-11-01,453631.0
2020-12-01,464778.0
2021-01-01,482597.0
2021-02-01,484865.0
2021-03-01,490016.0
2021-04-01,493792.0
2021-05-01,503868.0
2021-06-01,513395.0
2021-07-01,517215.0
2021-08-01,526167.0
2021-09-01,525605.0
2021-10-01,534899.0
2021-11-01,543287.0
2021-12-01,551072.0
2022-01-01,559007.0
2022-02-01,559703.0
2022-03-01,572249.0
2022-04-01,576316.0
2022-05-01,583700.0
2022-06-01,593123.0
2022-07-01,583350.0
2022-08-01,582902.0
2022-09-01,583719.0
2022-10-01,589082.0
2022-11-01,574907.0
2022-12-01,580918.0
2023-01-01,581049.0
2023-02-01,571265.0
2023-03-01,574915.0
2023-04-01,577496.0
