Date,senti
1960-01-01,101.641973603218
1960-02-01,101.379140120233
1960-03-01,101.152074678356
1960-04-01,101.026822063011
1960-05-01,101.058444464841
1960-06-01,101.147949315273
1960-07-01,101.16685593584
1960-08-01,101.023879738894
1960-09-01,100.802214658185
1960-10-01,100.618165175372
1960-11-01,100.558467231495
1960-12-01,100.579993539347
1961-01-01,100.629524239338
1961-02-01,100.682293303614
1961-03-01,100.752530548049
1961-04-01,100.87673619516
1961-05-01,101.079487256855
1961-06-01,101.285275514515
1961-07-01,101.384081237069
1961-08-01,101.293909704313
1961-09-01,101.130310264132
1961-10-01,101.048247322009
1961-11-01,101.157399239151
1961-12-01,101.355920731366
1962-01-01,101.497625427029
1962-02-01,101.46979884997
1962-03-01,101.327828198921
1962-04-01,101.142810788636
1962-05-01,100.963306564996
1962-06-01,100.82013737936
1962-07-01,100.753707008123
1962-08-01,100.804986135465
1962-09-01,100.929758520513
1962-10-01,101.083506683412
1962-11-01,101.232804334904
1962-12-01,101.337733026849
1963-01-01,101.33874931415
1963-02-01,101.187920877433
1963-03-01,100.984075049161
1963-04-01,100.855302470581
1963-05-01,100.894478139018
1963-06-01,101.019709206677
1963-07-01,101.12338714348
1963-08-01,101.135184499472
1963-09-01,101.10660479929
1963-10-01,101.119088236464
1963-11-01,101.232494425094
1963-12-01,101.392522012967
1964-01-01,101.521549713662
1964-02-01,101.562855939404
1964-03-01,101.555838321104
1964-04-01,101.55465900836
1964-05-01,101.595213812306
1964-06-01,101.656263044104
1964-07-01,101.702978507767
1964-08-01,101.709996065133
1964-09-01,101.698801968973
1964-10-01,101.702681377374
1964-11-01,101.749878509632
1964-12-01,101.831683309599
1965-01-01,101.939336110195
1965-02-01,102.066324630213
1965-03-01,102.184832970494
1965-04-01,102.254917903728
1965-05-01,102.242165356001
1965-06-01,102.183770283377
1965-07-01,102.121192266311
1965-08-01,102.078453640983
1965-09-01,102.044620563049
1965-10-01,101.996517391635
1965-11-01,101.912535537962
1965-12-01,101.80071239542
1966-01-01,101.666572612745
1966-02-01,101.508810668081
1966-03-01,101.337290071149
1966-04-01,101.158596867307
1966-05-01,100.975351792673
1966-06-01,100.792695037355
1966-07-01,100.621313184153
1966-08-01,100.479877827932
1966-09-01,100.386209292885
1966-10-01,100.382571411863
1966-11-01,100.513199485729
1966-12-01,100.711797587481
1967-01-01,100.903191640977
1967-02-01,101.03701247297
1967-03-01,101.128582912204
1967-04-01,101.197184211791
1967-05-01,101.246572864357
1967-06-01,101.268466556829
1967-07-01,101.237208840388
1967-08-01,101.131928759314
1967-09-01,101.011851889947
1967-10-01,100.957381675279
1967-11-01,101.025977549051
1967-12-01,101.142426403937
1968-01-01,101.202455158381
1968-02-01,101.128490343521
1968-03-01,100.981837789356
1968-04-01,100.844414761266
1968-05-01,100.773169835844
1968-06-01,100.74527325065
1968-07-01,100.729361829635
1968-08-01,100.713435568335
1968-09-01,100.720769054884
1968-10-01,100.797803799459
1968-11-01,100.97878081467
1968-12-01,101.180671939133
1969-01-01,101.282517907901
1969-02-01,101.183852312446
1969-03-01,100.963170717538
1969-04-01,100.708271476925
1969-05-01,100.468612547262
1969-06-01,100.241885948947
1969-07-01,100.009429475059
1969-08-01,99.7587060689382
1969-09-01,99.5115130773429
1969-10-01,99.3063808767958
1969-11-01,99.177441084202
1969-12-01,99.0912339776205
1970-01-01,99.0115707298139
1970-02-01,98.9216629545835
1970-03-01,98.8397083955313
1970-04-01,98.8006678197275
1970-05-01,98.8300886951985
1970-06-01,98.8750148851682
1970-07-01,98.8626724164224
1970-08-01,98.7436499343778
1970-09-01,98.5923478156637
1970-10-01,98.5177485823708
1970-11-01,98.6064669517687
1970-12-01,98.7890970018018
1971-01-01,98.9797701072156
1971-02-01,99.1218011950454
1971-03-01,99.2252919447259
1971-04-01,99.3092014970327
1971-05-01,99.3819575011736
1971-06-01,99.4416483592532
1971-07-01,99.4793593235723
1971-08-01,99.4955737411905
1971-09-01,99.5385541910477
1971-10-01,99.6841232192806
1971-11-01,99.9886780410995
1971-12-01,100.339616665491
1972-01-01,100.583306599651
1972-02-01,100.60666975085
1972-03-01,100.526016018526
1972-04-01,100.495476549539
1972-05-01,100.619453876956
1972-06-01,100.814957795494
1972-07-01,100.95194796681
1972-08-01,100.92214993368
1972-09-01,100.766384881388
1972-10-01,100.524149534922
1972-11-01,100.209163075321
1972-12-01,99.871384350207
1973-01-01,99.5595717568368
1973-02-01,99.3066353894676
1973-03-01,99.0890230561803
1973-04-01,98.883419120849
1973-05-01,98.6881193098265
1973-06-01,98.5323971218764
1973-07-01,98.4715612655291
1973-08-01,98.5424354745672
1973-09-01,98.623951990707
1973-10-01,98.546495490499
1973-11-01,98.1906047051274
1973-12-01,97.7446470565572
1974-01-01,97.4719968655047
1974-02-01,97.568280422607
1974-03-01,97.8453136020732
1974-04-01,98.0473175931089
1974-05-01,97.9863850101785
1974-06-01,97.7529751904957
1974-07-01,97.4684735217247
1974-08-01,97.210228007635
1974-09-01,96.9876776816422
1974-10-01,96.8043605954987
1974-11-01,96.6842266186845
1974-12-01,96.6587169991513
1975-01-01,96.8108062386957
1975-02-01,97.2244196098512
1975-03-01,97.7562518149027
1975-04-01,98.2308904298595
1975-05-01,98.5177205133302
1975-06-01,98.665022806694
1975-07-01,98.7292842275243
1975-08-01,98.7440361519185
1975-09-01,98.7717335705617
1975-10-01,98.8849983172682
1975-11-01,99.1349168020714
1975-12-01,99.4337704174534
1976-01-01,99.6655533254189
1976-02-01,99.7475551139921
1976-03-01,99.7590141611292
