Date,bus_confidence
1960-01-01,100.791956555141
1960-02-01,100.040093155391
1960-03-01,99.0637316883805
1960-04-01,98.2986242489048
1960-05-01,97.8869142580843
1960-06-01,97.8820933481049
1960-07-01,98.0557487539257
1960-08-01,98.3056926226663
1960-09-01,98.3254644524615
1960-10-01,98.2282220891056
1960-11-01,98.0340374080913
1960-12-01,97.9015748111016
1961-01-01,97.9413735298051
1961-02-01,98.3483102228451
1961-03-01,99.272176168379
1961-04-01,100.34352250447
1961-05-01,100.98212550397
1961-06-01,101.230152124523
1961-07-01,101.404835297529
1961-08-01,101.671199130078
1961-09-01,101.889781754129
1961-10-01,101.9104220487
1961-11-01,101.869015526169
1961-12-01,101.987625860189
1962-01-01,101.898898698159
1962-02-01,101.692564481054
1962-03-01,101.264766873201
1962-04-01,100.569209023766
1962-05-01,99.9329210636614
1962-06-01,99.5194867345597
1962-07-01,99.3155567055109
1962-08-01,99.2305985913915
1962-09-01,99.3456390263318
1962-10-01,99.662131444995
1962-11-01,100.098945758584
1962-12-01,100.444748202449
1963-01-01,100.503743599426
1963-02-01,100.511677670408
1963-03-01,100.62872119358
1963-04-01,100.909129911251
1963-05-01,101.094576917919
1963-06-01,100.983518586097
1963-07-01,100.73868004781
1963-08-01,100.639617171383
1963-09-01,100.722592500621
1963-10-01,100.790014042472
1963-11-01,100.730768337207
1963-12-01,100.632047094071
1964-01-01,100.793780852183
1964-02-01,101.043149447033
1964-03-01,101.267434940247
1964-04-01,101.34390120225
1964-05-01,101.430846929404
1964-06-01,101.667079160119
1964-07-01,101.972937436747
1964-08-01,102.127745885517
1964-09-01,102.091323561216
1964-10-01,101.938800087168
1964-11-01,101.897037979542
1964-12-01,101.914599544473
1965-01-01,101.949975229772
1965-02-01,102.088458193131
1965-03-01,102.193084306172
1965-04-01,102.012615435173
1965-05-01,101.704281949328
1965-06-01,101.364476948256
1965-07-01,101.180247592518
1965-08-01,101.186543527766
1965-09-01,101.316010107345
1965-10-01,101.392692457046
1965-11-01,101.652343539014
1965-12-01,102.127997269511
1966-01-01,102.569565614452
1966-02-01,102.729989613358
1966-03-01,102.595851700088
1966-04-01,102.159733637366
1966-05-01,101.599166474436
1966-06-01,101.376658276934
1966-07-01,101.343869847517
1966-08-01,101.255401211821
1966-09-01,101.092858336342
1966-10-01,100.750013364725
1966-11-01,100.24015953762
1966-12-01,99.7028658314561
1967-01-01,99.1296200089225
1967-02-01,98.6098440366678
1967-03-01,98.1647411755848
1967-04-01,97.9309816202251
1967-05-01,98.0904668495253
1967-06-01,98.5439386274332
1967-07-01,99.1323961508269
1967-08-01,99.6989627819619
1967-09-01,100.105391124191
1967-10-01,100.270458989944
1967-11-01,100.368503657608
1967-12-01,100.485105828262
1968-01-01,100.541450980205
1968-02-01,100.491411508946
1968-03-01,100.489261797161
1968-04-01,100.581221330921
1968-05-01,100.438732145202
1968-06-01,100.207552222079
1968-07-01,100.045282077335
1968-08-01,99.9492362841732
1968-09-01,100.053149751096
1968-10-01,100.409539204419
1968-11-01,100.684135521639
1968-12-01,100.69573516569
1969-01-01,100.65694237808
1969-02-01,100.714449091046
1969-03-01,100.718955448899
1969-04-01,100.638189561031
1969-05-01,100.574807166252
1969-06-01,100.421443099059
1969-07-01,100.260184017257
1969-08-01,100.247060202881
1969-09-01,100.235560111449
1969-10-01,100.170656563559
1969-11-01,99.9434646809989
1969-12-01,99.5681755455773
1970-01-01,99.0955637710362
1970-02-01,98.7194043721991
1970-03-01,98.5096858072623
1970-04-01,98.4974910881705
1970-05-01,98.7726862346068
1970-06-01,99.0704005714855
1970-07-01,98.9887640706833
1970-08-01,98.5650278795452
1970-09-01,97.9987044666576
1970-10-01,97.5823713248192
1970-11-01,97.5510016738694
1970-12-01,98.1173952253067
1971-01-01,98.8985852341253
1971-02-01,99.6265882121729
1971-03-01,99.9273644740656
1971-04-01,100.138830690208
1971-05-01,100.203466826084
1971-06-01,100.19624865836
1971-07-01,100.192793572446
1971-08-01,100.186954641458
1971-09-01,100.228711845272
1971-10-01,100.250762823992
1971-11-01,100.36285600698
1971-12-01,100.807333611947
1972-01-01,101.24207586285
1972-02-01,101.483542560963
1972-03-01,101.520151277761
1972-04-01,101.494870878702
1972-05-01,101.489364628913
1972-06-01,101.437240481301
1972-07-01,101.600083792321
1972-08-01,101.992212848287
1972-09-01,102.553925887188
1972-10-01,103.117868397754
1972-11-01,103.609124834997
1972-12-01,103.906990531238
1973-01-01,104.003489902359
1973-02-01,103.839946884698
1973-03-01,103.568981918955
1973-04-01,103.157904413124
1973-05-01,102.659677708231
1973-06-01,102.198282162569
1973-07-01,101.817167213099
1973-08-01,101.985458965491
1973-09-01,102.36584154596
1973-10-01,102.744160436149
1973-11-01,102.828288070181
1973-12-01,102.474767543578
1974-01-01,102.030399400831
1974-02-01,101.677491163478
1974-03-01,101.542135140014
1974-04-01,101.26290588661
1974-05-01,100.843208940644
1974-06-01,100.504795652503
1974-07-01,100.166407199595
1974-08-01,99.5581276525958
1974-09-01,98.5821784505489
1974-10-01,97.4954835262648
1974-11-01,96.3844150216795
1974-12-01,95.4672774355111
1975-01-01,95.1298870627547
1975-02-01,95.2742880275942
1975-03-01,95.61133061178
1975-04-01,96.3452931107968
1975-05-01,97.2094706283745
1975-06-01,98.0541678866455
1975-07-01,98.8115445295734
1975-08-01,99.5247527300681
1975-09-01,100.061087013035
1975-10-01,100.339828986833
1975-11-01,100.46809372599
1975-12-01,100.70855404149
1976-01-01,101.127115519717
1976-02-01,101.442080295718
1976-03-01,101.479420440356
